cave_name;longitude;latitude;elevation;length;depth;area;volume;lithology;relevance_surveyed;relevance_factor;geomorph_unit;description;user;cave_maps;
FP-16;-43.636793;-20.103983;1363;20.62;2.15;38.6;28.5;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
CPMT_0003;-43.894726;-20.106493;1190;8.6;2.43;5.25;2.87;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
TAMD_0001;-43.953356;-20.106904;1358;7.2;0.4;6.84;2.4;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
FP-12;-43.642923;-20.107401;1426;19.95;1.74;44;29.5;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
CPMT_0005;-43.900841;-20.107425;1319;9.03;0.9;23;20;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
FP-11;-43.657938;-20.110831;1406;27.99;10.29;89;69;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
FP-10;-43.661594;-20.116253;1640;7.52;0.45;34;28.5;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
CPMT_0016;-43.898789;-20.116366;1456;53.3;3.5;157;216;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0014;-43.888992;-20.116567;1454;47.4;2.5;121.6;122;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0015;-43.898356;-20.116698;1456;18.1;1.5;44.8;42;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0012;-43.900393;-20.116756;1471;9.9;0.1;10;6;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
FP-04;-43.648766;-20.117537;1469;8.55;4.01;11.34;15.8;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
FP-03;-43.648737;-20.117618;1464;25.59;2.54;84.05;100.8;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
FP-02;-43.648688;-20.117672;1464;6.02;0.25;19.7;26;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
FP-01;-43.648698;-20.117699;1462;5.07;0.5;11.1;17;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
CPMT_0020;-43.894758;-20.118239;1339;9.77;3;28;30;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0017;-43.894662;-20.118256;1339;10.9;1.9;13.1;12;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0018;-43.894738;-20.118383;1339;5.6;0.3;3;3.75;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0019;-43.894974;-20.118782;1348;10.37;0.7;22;45;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0011;-43.901135;-20.120104;1496;8.4;1.5;13;4;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0009;-43.902495;-20.121196;1437;10.3;1.35;7.03;16;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
FP-08;-43.658642;-20.121416;1520;5.92;1.57;14.6;10.2;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
FP-09;-43.658574;-20.121542;1524;6.82;0.67;10.6;6;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
FP-07;-43.658555;-20.121578;1518;38.24;3.65;132.2;189;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
BR_0001;-43.405142;-20.122088;786;9.05;1.78;23.44;29.53;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FP-06;-43.657802;-20.122349;1494;9.08;0.71;22;21.3;Banded Iron Formation - BIF;No;Maximum;10;Unavaible;hpesciotti;null
CPMT_0008;-43.901065;-20.123275;1412;25.3;2.6;124.4;187;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
BR_0002;-43.409261;-20.123362;904;6.77;2.88;23.72;46.93;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CPMT_0013;-43.893352;-20.123669;1328;10.7;1;9.9;8;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
BR_0027;-43.407634;-20.124396;903;7.67;0.76;19.34;20.88;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CPMT_0010;-43.895226;-20.125217;1336;24.8;0.3;19.6;9;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
BR_0003;-43.403531;-20.126265;827;9.77;1.32;18.43;9.39;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CPMT_0006;-43.907429;-20.128428;1278;20.5;2.4;65.3;67;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
CPMT_0007;-43.904557;-20.131482;1211;5.8;0.7;6.56;8.9;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
BR_0020;-43.404277;-20.132938;832;5.89;0.19;16.03;17.63;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0019;-43.404353;-20.132957;828;12.81;1.65;16.98;13.92;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0018;-43.404362;-20.132957;829;41.1;2.11;60.94;60.94;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0017;-43.404725;-20.133096;820;24.06;1.73;104.32;105.36;Hematite Schist;No;Maximum;9;Unavaible;hpesciotti;null
BR_0015;-43.405222;-20.133101;815;17.85;1.08;38.94;31.15;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0016;-43.405136;-20.133109;827;6.16;0.56;6.64;3.85;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0010;-43.407014;-20.133686;838;6.31;3.09;22.85;21.47;Itabirite;No;Maximum;9;Unavaible;hpesciotti;null
BR_0022;-43.405863;-20.134046;860;30.59;4.93;142.14;271.48;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0021;-43.405709;-20.134108;860;19.39;3.67;58.89;63.6;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0023;-43.405678;-20.134306;874;41.56;4.7;153.12;136.27;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0008;-43.407906;-20.134381;846;10.22;2;25.2;33.76;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0006;-43.408220;-20.134555;850;6.1;0.54;26.52;20.15;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0030;-43.409406;-20.134566;890;6.3;0.75;10.32;5.77;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0034;-43.411427;-20.137159;895;49.01;8.41;274;487.72;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0009;-43.410115;-20.137264;901;7.8;1.3;9.77;3.12;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0032;-43.411969;-20.137453;898;27.55;2.25;62.44;86.12;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0031;-43.412208;-20.137518;904;22.06;5.7;84.63;156.56;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0033;-43.411553;-20.137919;919;8.75;0.59;23.13;30.99;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0011;-43.409439;-20.137954;899;54.01;2.02;145.1;124.78;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0028;-43.412592;-20.138253;889;14.95;0.49;22.48;21.58;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0029;-43.413184;-20.138421;892;19.45;1.83;66.94;88.36;Hematite Schist;No;Maximum;9;Unavaible;hpesciotti;null
ABOB_0006;-43.882708;-20.144817;1296;16.6;2.2;28.3;47;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
ABOB_0003;-43.880878;-20.145203;1347;22.8;0.7;32.9;27;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
ABOB_0004;-43.880828;-20.145509;1355;18.6;0.8;22.6;24;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
ABOB_0005;-43.880799;-20.145536;1352;9;1.3;7.7;6;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
BR_0038;-43.426518;-20.147972;915;7.61;0.37;16.24;8.12;Hematite Schist;No;Maximum;9;Unavaible;hpesciotti;null
ABOB_0009;-43.874444;-20.149932;1365;8.9;1.9;5.2;3;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
BR_0036;-43.431068;-20.150235;914;21.25;3;36.52;62.44;Hematite Schist;No;Maximum;9;Unavaible;hpesciotti;null
PMN_0020;-43.423625;-20.150268;887;7.08;1.3;33.73;53.63;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0026;-43.419269;-20.151548;873;17.53;4.08;55.35;85.79;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FZ_0033;-43.426818;-20.155211;912;15.27;0.99;31.33;37.59;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FZ_0031;-43.427577;-20.155841;911;10.2;0.36;15.88;13.97;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FZ_0029;-43.427299;-20.155929;906;39.78;3.31;193.89;224.91;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FZ_0030;-43.427289;-20.155992;914;10;1.02;24.94;26.18;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
MRI_0003;-43.416399;-20.157213;865;26.43;4.51;76.04;87.44;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
MRI_0004;-43.415844;-20.157236;877;6.87;0.87;12.34;11.47;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
MRI_0005;-43.415934;-20.157787;877;7.69;1.04;22.97;32.38;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
MRI_0002;-43.417773;-20.159547;847;16.31;2.35;52.6;51.02;Hematite Schist;No;Maximum;9;Unavaible;hpesciotti;null
ABOB_0010;-43.877512;-20.159719;1252;12.4;0.6;18.7;9;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
BR_0042;-43.418070;-20.162324;825;49.6;4.21;182.54;313.96;Hematite Schist;No;Maximum;9;Unavaible;hpesciotti;null
ABOB_0001;-43.867663;-20.162899;1209;11.8;1;28;17;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
P_0006;-43.469574;-20.163746;925;16.43;5.05;69.16;85.78;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
P_0002;-43.469266;-20.163887;924;5.25;0.73;20.84;31.05;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
P_0005;-43.462520;-20.163991;947;13.26;1.13;19.84;16.07;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
P_0003;-43.469350;-20.164105;909;7.69;1.15;10.33;12.08;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
ABOB_0002;-43.863778;-20.164275;1167;8.4;0.1;16.6;11;Banded Iron Formation - BIF;No;Maximum;5;Unavaible;hpesciotti;null
P_0001;-43.466827;-20.164779;965;6.32;0.24;14.9;18.92;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FZ_0079;-43.491097;-20.166967;911;16.06;0.75;29.71;40.4;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FZ_0076;-43.493871;-20.169023;910;9.8;1.83;39.12;62.2;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CAPA_0003;-43.624591;-20.169479;1439;84.87;3.9;222.48;246.95;Banded Iron Formation - BIF;No;Maximum;8;Unavaible;hpesciotti;null
CAPA_0004;-43.622665;-20.169708;1407;36.7;4.97;134.74;177.85;Banded Iron Formation - BIF;No;Maximum;8;Unavaible;hpesciotti;null
CAPA_0005;-43.621972;-20.170245;1404;13.31;2.08;23.12;15.02;Banded Iron Formation - BIF;No;Maximum;8;Unavaible;hpesciotti;null
CAPA_0006;-43.621737;-20.170812;1411;30.22;3.38;137.75;107.44;Banded Iron Formation - BIF;No;Maximum;8;Unavaible;hpesciotti;null
BR_0043;-43.480079;-20.171552;912;9.95;0.16;22.11;47.75;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CAPA_0002;-43.624030;-20.189794;1616;6.77;0.85;25.11;29.88;Banded Iron Formation - BIF;No;Maximum;8;Unavaible;hpesciotti;null
CAPA_0001;-43.619968;-20.193529;1629;25.38;0.92;49.88;57.86;Banded Iron Formation - BIF;No;Maximum;8;Unavaible;hpesciotti;null
FN_0015;-43.435871;-20.205764;924;6.7;0.4;9.6;8;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0016;-43.436560;-20.205788;934;6;0.4;13;7.6;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0017;-43.437609;-20.206069;964;11.07;0.82;18.39;22.44;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0021;-43.438422;-20.207115;940;5.2;0.8;11;9;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0018;-43.437962;-20.207138;956;15;4;45;31;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
